model,joint,metric,value
Direct Sup. (ep.25),ALL,PCK@0.2,0.424712
Direct Sup. (ep.25),ALL,MPJPE,59.868130
Direct Sup. (ep.25),ALL,AUC,0.537700
Direct Sup. (ep.25),Wrist,PCK@0.2,0.203520
Direct Sup. (ep.25),Wrist,MPJPE,82.964409
Direct Sup. (ep.25),Thumb_MCP,PCK@0.2,0.385772
Direct Sup. (ep.25),Thumb_MCP,MPJPE,65.421944
Direct Sup. (ep.25),Thumb_PIP,PCK@0.2,0.422809
Direct Sup. (ep.25),Thumb_PIP,MPJPE,59.824299
Direct Sup. (ep.25),Thumb_DIP,PCK@0.2,0.363770
Direct Sup. (ep.25),Thumb_DIP,MPJPE,63.983414
Direct Sup. (ep.25),Thumb_Tip,PCK@0.2,0.283828
Direct Sup. (ep.25),Thumb_Tip,MPJPE,70.277580
Direct Sup. (ep.25),Index_MCP,PCK@0.2,0.411808
Direct Sup. (ep.25),Index_MCP,MPJPE,63.203377
Direct Sup. (ep.25),Index_PIP,PCK@0.2,0.456546
Direct Sup. (ep.25),Index_PIP,MPJPE,56.701599
Direct Sup. (ep.25),Index_DIP,PCK@0.2,0.401540
Direct Sup. (ep.25),Index_DIP,MPJPE,58.872337
Direct Sup. (ep.25),Index_Tip,PCK@0.2,0.325266
Direct Sup. (ep.25),Index_Tip,MPJPE,62.794189
Direct Sup. (ep.25),Middle_MCP,PCK@0.2,0.581591
Direct Sup. (ep.25),Middle_MCP,MPJPE,50.788448
Direct Sup. (ep.25),Middle_PIP,PCK@0.2,0.601760
Direct Sup. (ep.25),Middle_PIP,MPJPE,48.867432
Direct Sup. (ep.25),Middle_DIP,PCK@0.2,0.449212
Direct Sup. (ep.25),Middle_DIP,MPJPE,56.611496
Direct Sup. (ep.25),Middle_Tip,PCK@0.2,0.328933
Direct Sup. (ep.25),Middle_Tip,MPJPE,61.684158
Direct Sup. (ep.25),Ring_MCP,PCK@0.2,0.503850
Direct Sup. (ep.25),Ring_MCP,MPJPE,53.835190
Direct Sup. (ep.25),Ring_PIP,PCK@0.2,0.554089
Direct Sup. (ep.25),Ring_PIP,MPJPE,49.993233
Direct Sup. (ep.25),Ring_DIP,PCK@0.2,0.489549
Direct Sup. (ep.25),Ring_DIP,MPJPE,55.062626
Direct Sup. (ep.25),Ring_Tip,PCK@0.2,0.366703
Direct Sup. (ep.25),Ring_Tip,MPJPE,61.401798
Direct Sup. (ep.25),Pinky_MCP,PCK@0.2,0.477448
Direct Sup. (ep.25),Pinky_MCP,MPJPE,55.971981
