epoch,metric,value,coordinate_space,run_id
10,PCK@0.2,0.7281,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
20,PCK@0.2,0.7443,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
30,PCK@0.2,0.7490,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
40,PCK@0.2,0.7540,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
50,PCK@0.2,0.7569,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
60,PCK@0.2,0.7579,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
65,PCK@0.2,0.7693,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
70,PCK@0.2,0.7640,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
80,PCK@0.2,0.7648,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
90,PCK@0.2,0.7674,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
100,PCK@0.2,0.7676,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
10,MPJPE,40.3039,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
20,MPJPE,38.2385,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
30,MPJPE,37.7271,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
40,MPJPE,36.2569,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
50,MPJPE,36.4630,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
60,MPJPE,35.9625,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
65,MPJPE,35.5827,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
70,MPJPE,35.3903,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
80,MPJPE,35.2723,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
90,MPJPE,35.1120,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
100,MPJPE,35.0629,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
10,AUC,0.6976,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
20,AUC,0.7121,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
30,AUC,0.7157,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
40,AUC,0.7270,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
50,AUC,0.7255,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
60,AUC,0.7295,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
65,AUC,0.7319,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
70,AUC,0.7333,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
80,AUC,0.7344,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
90,AUC,0.7353,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
100,AUC,0.7358,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
10,MSE,3291.1150,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
20,MSE,3066.7117,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
30,MSE,2979.6843,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
40,MSE,2858.1455,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
50,MSE,2890.3523,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
60,MSE,2893.0588,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
65,MSE,2834.2705,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
70,MSE,2788.7444,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
80,MSE,2787.3079,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
90,MSE,2779.7649,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
100,MSE,2769.3718,teacher-decoded-space,experiments/v2_learning_curve_complete.csv
10,MSE,3297,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
20,MSE,3142,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
30,MSE,3050,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
40,MSE,2940,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
50,MSE,2975,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
60,MSE,2890,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
65,MSE,2860,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
70,MSE,2845,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
80,MSE,2820,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
90,MSE,2795,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
100,MSE,2769,teacher-decoded-space,fig3_tikz_hardcoded_main.tex_L609-613
20,PCK@0.2,0.745,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1224
40,PCK@0.2,0.754,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1225
60,PCK@0.2,0.758,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1226
80,PCK@0.2,0.765,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1227
100,PCK@0.2,0.767,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1228
20,AUC,0.712,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1224
40,AUC,0.728,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1225
60,AUC,0.731,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1226
80,AUC,0.734,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1227
100,AUC,0.736,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1228
20,MPJPE,38.30,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1224
40,MPJPE,36.30,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1225
60,MPJPE,36.00,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1226
80,MPJPE,35.30,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1227
100,MPJPE,35.06,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1228
20,MSE,3075,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1224
40,MSE,2865,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1225
60,MSE,2905,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1226
80,MSE,2805,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1227
100,MSE,2769,teacher-decoded-space,appendixF_table_hardcoded_main.tex_L1228
10,PCK@0.2,0.7240,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
20,PCK@0.2,0.7095,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
30,PCK@0.2,0.7269,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
40,PCK@0.2,0.7350,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
50,PCK@0.2,0.7245,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
60,PCK@0.2,0.7414,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
70,PCK@0.2,0.7340,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
80,PCK@0.2,0.7269,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
90,PCK@0.2,0.7271,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
100,PCK@0.2,0.7305,GT-space,direct_sup_learning_curve.csv_NOTE_not_plotted_in_fig3
